# Locations
0,Library,9,3,8,100.0,0,0  
1,Main Building,10,2,9,100.0,0,0  
2,Science Lab,8,4,7,100.0,0,0  
3,Student Center,7,2,8,100.0,0,0  
4,Cafeteria,6,1,10,95.0,0,0  
5,Administration,7,5,6,100.0,0,0  
6,Sports Complex,5,3,7,100.0,0,0  
7,Research Center,8,7,5,100.0,0,0  
8,Garden,4,14,3,100.0,0,0  
9,Dormitory A,6,7,5,100.0,0,0  
10,Dormitory B,6,7,5,100.0,0,0  
11,Parking Lot,3,10,4,100.0,0,0  
# Paths
0,1,3.0,5.0,1.0  
0,2,4.0,6.0,1.2  
0,3,2.0,4.0,1.0  
1,0,3.0,5.0,1.0  
1,3,2.5,5.0,1.0  
1,4,3.0,5.5,1.1  
1,5,2.0,4.0,1.0  
2,0,4.0,6.0,1.2  
2,6,3.5,5.0,1.1  
3,0,2.0,4.0,1.0  
3,1,2.5,5.0,1.0  
4,1,3.0,5.5,1.1  
5,1,2.0,4.0,1.0  
5,7,4.0,6.0,1.2  
6,2,3.5,5.0,1.1  
7,5,4.0,6.0,1.2  
7,8,3.0,5.0,1.3  
8,7,3.0,5.0,1.3  
8,9,5.0,7.0,1.4  
9,8,5.0,7.0,1.4  
9,11,3.0,4.0,1.0  
10,11,2.0,3.0,1.0  
11,9,3.0,4.0,1.0  
11,10,2.0,3.0,1.0  
